SEQ,T_US,A1X,A1Y,A1Z,G1X,G1Y,G1Z,A2X,A2Y,A2Z,G2X,G2Y,G2Z
43831,441609658,9.507,1.334,4.166,0.1415,-0.0835,0.0566,-1.068,0.057,9.857,0.0000,0.0015,-0.0005
43832,441619652,9.572,1.312,4.144,0.1897,-0.0822,0.0724,-1.085,0.055,9.869,0.0006,0.0018,-0.0005
43833,441629655,9.663,1.173,4.149,0.1921,-0.0941,0.1251,-1.077,0.050,9.871,0.0000,-0.0003,-0.0000
43834,441639654,9.629,1.159,4.096,0.1953,-0.1168,0.1749,-1.085,0.053,9.886,-0.0005,-0.0003,-0.0008
43835,441649651,9.560,1.188,4.132,0.2180,-0.1448,0.1891,-1.063,0.029,9.886,-0.0010,-0.0000,-0.0008
43836,441659654,9.553,1.207,4.209,0.2145,-0.1696,0.1787,-1.058,0.029,9.874,-0.0005,0.0005,-0.0005
43837,441669653,9.531,1.197,4.178,0.1980,-0.1882,0.1518,-1.092,0.036,9.881,-0.0005,-0.0003,-0.0008
43838,441679652,9.541,1.142,4.147,0.1871,-0.1994,0.1137,-1.087,0.045,9.852,-0.0005,0.0002,-0.0005
43839,441689655,9.591,1.135,4.087,0.1562,-0.2015,0.0803,-1.077,0.045,9.850,-0.0005,0.0008,0.0003
43840,441699657,9.606,1.152,4.032,0.1237,-0.1850,0.0636,-1.082,0.053,9.874,-0.0002,0.0010,-0.0000
43841,441709655,9.601,1.180,3.989,0.1045,-0.1616,0.0545,-1.073,0.045,9.859,0.0000,0.0008,-0.0000
43842,441719655,9.570,1.264,3.974,0.1394,-0.1288,0.0393,-1.080,0.055,9.850,-0.0002,0.0008,-0.0008
43843,441729651,9.586,1.250,3.915,0.2028,-0.0947,0.0220,-1.082,0.057,9.847,0.0000,0.0005,0.0003
43844,441739657,9.627,1.269,3.915,0.2822,-0.0622,0.0113,-1.063,0.036,9.850,0.0008,-0.0003,-0.0000
43845,441749657,9.622,1.247,3.915,0.3478,-0.0422,0.0124,-1.075,0.045,9.883,0.0011,0.0002,-0.0005
43846,441759651,9.591,1.252,3.915,0.4074,-0.0339,0.0089,-1.075,0.043,9.857,-0.0005,0.0005,-0.0003
43847,441769657,9.618,1.188,3.917,0.4479,-0.0363,0.0087,-1.070,0.060,9.871,0.0000,-0.0000,-0.0000
43848,441779651,9.644,1.171,3.970,0.4304,-0.0438,0.0153,-1.073,0.053,9.888,-0.0002,-0.0000,0.0003
43849,441789653,9.646,1.137,3.982,0.3757,-0.0582,0.0332,-1.070,0.045,9.890,0.0006,-0.0000,0.0003
43850,441799654,9.639,1.147,3.979,0.3006,-0.0715,0.0414,-1.085,0.048,9.857,-0.0008,-0.0000,-0.0003
43851,441809658,9.641,1.166,3.967,0.2294,-0.0750,0.0324,-1.080,0.036,9.874,-0.0005,0.0005,-0.0008
43852,441819654,9.665,1.183,3.977,0.1572,-0.0742,0.0279,-1.080,0.060,9.864,-0.0013,-0.0006,-0.0005
43853,441829658,9.685,1.252,3.953,0.1002,-0.0726,0.0308,-1.070,0.057,9.850,-0.0002,-0.0000,-0.0003
43854,441839653,9.651,1.329,3.888,0.1018,-0.0691,0.0310,-1.056,0.043,9.852,0.0000,-0.0006,-0.0000
43855,441849651,9.644,1.319,3.850,0.1452,-0.0640,0.0305,-1.073,0.041,9.871,-0.0008,-0.0006,-0.0005
43856,441859654,9.653,1.290,3.831,0.1871,-0.0608,0.0398,-1.075,0.045,9.859,-0.0013,0.0002,0.0003
43857,441869651,9.653,1.267,3.836,0.2321,-0.0603,0.0540,-1.077,0.053,9.871,-0.0008,-0.0000,-0.0003
43858,441879651,9.687,1.243,3.874,0.2590,-0.0646,0.0692,-1.077,0.048,9.888,-0.0008,0.0010,-0.0008
43859,441889655,9.668,1.257,3.859,0.2643,-0.0784,0.0790,-1.080,0.081,9.881,-0.0005,-0.0003,-0.0005
43860,441899658,9.661,1.305,3.874,0.2857,-0.0960,0.0854,-1.085,0.062,9.859,0.0000,0.0013,0.0005
43861,441909658,9.668,1.267,3.876,0.2891,-0.1123,0.1041,-1.087,0.050,9.845,-0.0002,-0.0000,0.0003
43862,441919652,9.637,1.211,3.819,0.2681,-0.1211,0.1054,-1.085,0.050,9.847,-0.0002,-0.0011,-0.0000
43863,441929654,9.658,1.199,3.785,0.2377,-0.1181,0.0953,-1.077,0.053,9.852,-0.0002,-0.0003,-0.0005
43864,441939652,9.677,1.221,3.802,0.2073,-0.1176,0.0819,-1.058,0.053,9.855,0.0003,-0.0003,-0.0000
43865,441949653,9.668,1.276,3.795,0.2095,-0.1125,0.0641,-1.075,0.041,9.890,0.0008,0.0005,0.0008
43866,441959654,9.663,1.290,3.730,0.2297,-0.1077,0.0596,-1.077,0.048,9.874,0.0000,-0.0003,0.0008
43867,441969652,9.708,1.238,3.685,0.2436,-0.0997,0.0638,-1.068,0.043,9.857,0.0006,-0.0008,-0.0003
43868,441979658,9.732,1.219,3.692,0.2470,-0.0830,0.0734,-1.075,0.057,9.871,0.0003,0.0002,0.0003
43869,441989659,9.728,1.223,3.689,0.2398,-0.0758,0.0777,-1.070,0.050,9.871,0.0006,-0.0003,-0.0000
43870,441999658,9.697,1.195,3.677,0.2265,-0.0760,0.0734,-1.058,0.031,9.864,-0.0005,-0.0006,-0.0003
43871,442009654,9.694,1.209,3.699,0.2060,-0.0792,0.0665,-1.061,0.055,9.862,0.0008,-0.0006,0.0005
43872,442019654,9.675,1.226,3.711,0.1780,-0.0790,0.0620,-1.077,0.043,9.852,0.0000,-0.0003,0.0003
43873,442029655,9.708,1.262,3.725,0.1586,-0.0758,0.0577,-1.104,0.041,9.859,-0.0005,0.0002,-0.0000
43874,442039654,9.685,1.279,3.689,0.1799,-0.0744,0.0468,-1.089,0.048,9.862,0.0011,-0.0014,0.0003
43875,442049657,9.699,1.276,3.701,0.2023,-0.0755,0.0404,-1.070,0.050,9.857,-0.0008,-0.0008,0.0019
43876,442059656,9.740,1.240,3.673,0.2049,-0.0803,0.0473,-1.092,0.060,9.874,0.0003,-0.0003,-0.0000
43877,442069658,9.780,1.209,3.620,0.1993,-0.0763,0.0516,-1.068,0.067,9.878,0.0003,0.0002,-0.0008
43878,442079658,9.759,1.180,3.575,0.2007,-0.0736,0.0606,-1.063,0.048,9.874,-0.0005,-0.0003,0.0008
43879,442089655,9.718,1.257,3.577,0.2004,-0.0710,0.0644,-1.085,0.065,9.864,-0.0002,0.0005,0.0003
43880,442099655,9.716,1.307,3.579,0.2313,-0.0670,0.0633,-1.089,0.045,9.867,0.0003,0.0002,-0.0011
43881,442109657,9.694,1.267,3.582,0.2574,-0.0672,0.0665,-1.082,0.045,9.840,0.0006,0.0002,-0.0003
43882,442119658,9.737,1.271,3.620,0.2505,-0.0635,0.0724,-1.068,0.043,9.831,0.0003,-0.0003,0.0003
43883,442129658,9.749,1.267,3.634,0.2348,-0.0678,0.0753,-1.056,0.055,9.862,-0.0005,-0.0003,-0.0000
43884,442139651,9.742,1.276,3.639,0.2236,-0.0766,0.0771,-1.041,0.050,9.845,-0.0008,-0.0008,-0.0000
43885,442149651,9.732,1.262,3.608,0.2057,-0.0862,0.0740,-1.070,0.041,9.840,0.0006,0.0005,-0.0013
43886,442159658,9.706,1.274,3.587,0.2145,-0.0936,0.0630,-1.077,0.057,9.855,0.0000,0.0010,-0.0011
43887,442169656,9.749,1.279,3.565,0.2318,-0.0960,0.0566,-1.077,0.038,9.859,0.0003,0.0010,-0.0003
43888,442179654,9.780,1.274,3.515,0.2755,-0.0968,0.0545,-1.077,0.043,9.840,0.0000,0.0008,-0.0003
43889,442189655,9.804,1.199,3.512,0.3049,-0.0995,0.0665,-1.099,0.048,9.857,0.0006,0.0002,-0.0000
43890,442199652,9.792,1.219,3.498,0.2923,-0.0987,0.0838,-1.087,0.050,9.864,-0.0008,0.0008,0.0003
43891,442209653,9.792,1.233,3.493,0.2793,-0.0976,0.0990,-1.094,0.069,9.864,-0.0008,-0.0006,-0.0005
43892,442219651,9.778,1.238,3.515,0.2782,-0.0965,0.1054,-1.104,0.055,9.874,0.0006,0.0002,-0.0005
43893,442229654,9.783,1.228,3.457,0.2670,-0.0987,0.1086,-1.077,0.062,9.871,0.0000,0.0002,-0.0008
43894,442239655,9.783,1.235,3.448,0.2710,-0.0984,0.1043,-1.075,0.041,9.874,0.0006,-0.0003,0.0003
43895,442249657,9.785,1.207,3.409,0.2428,-0.0973,0.1001,-1.058,0.053,9.878,-0.0008,-0.0000,-0.0000
43896,442259654,9.747,1.204,3.400,0.2140,-0.0872,0.0761,-1.077,0.050,9.898,-0.0002,0.0005,0.0005
43897,442269651,9.735,1.231,3.426,0.1988,-0.0742,0.0401,-1.082,0.050,9.871,0.0003,0.0005,-0.0000
43898,442279654,9.732,1.267,3.383,0.2132,-0.0600,0.0057,-1.085,0.055,9.843,-0.0002,0.0005,0.0005
43899,442289655,9.754,1.314,3.388,0.2270,-0.0480,-0.0087,-1.068,0.057,9.852,0.0000,-0.0000,0.0008
43900,442299656,9.785,1.264,3.352,0.2342,-0.0390,-0.0028,-1.068,0.045,9.855,-0.0002,0.0002,0.0003
43901,442309651,9.802,1.211,3.340,0.2348,-0.0342,0.0164,-1.092,0.041,9.852,0.0000,0.0010,-0.0003
43902,442319653,9.821,1.216,3.383,0.2268,-0.0339,0.0348,-1.075,0.045,9.852,-0.0002,0.0002,-0.0008
43903,442329657,9.816,1.264,3.424,0.2281,-0.0353,0.0470,-1.075,0.065,9.840,-0.0005,0.0002,0.0003
43904,442339658,9.787,1.269,3.436,0.2353,-0.0464,0.0569,-1.077,0.055,9.855,-0.0008,0.0015,0.0005
43905,442349653,9.764,1.238,3.421,0.2222,-0.0595,0.0606,-1.065,0.048,9.855,-0.0010,-0.0006,0.0005
43906,442359656,9.771,1.243,3.402,0.1940,-0.0659,0.0596,-1.080,0.045,9.888,-0.0002,0.0002,0.0008
43907,442369652,9.778,1.223,3.381,0.1644,-0.0686,0.0457,-1.065,0.048,9.878,0.0000,-0.0000,0.0005
43908,442379656,9.804,1.214,3.314,0.1495,-0.0659,0.0236,-1.073,0.043,9.871,-0.0010,0.0005,0.0008
43909,442389658,9.809,1.195,3.306,0.1450,-0.0550,-0.0012,-1.065,0.053,9.881,-0.0005,0.0005,0.0003
43910,442399658,9.795,1.243,3.304,0.1396,-0.0371,-0.0201,-1.068,0.062,9.881,-0.0002,0.0008,0.0008
43911,442409652,9.778,1.269,3.266,0.1599,-0.0179,-0.0401,-1.089,0.055,9.898,-0.0002,0.0008,-0.0000
43912,442419651,9.814,1.302,3.294,0.1777,0.0066,-0.0678,-1.085,0.057,9.857,0.0003,0.0015,-0.0003
43913,442429654,9.792,1.367,3.297,0.2015,0.0210,-0.1008,-1.094,0.067,9.862,0.0000,0.0005,-0.0005
43914,442439655,9.787,1.386,3.294,0.2230,0.0218,-0.1035,-1.075,0.048,9.876,-0.0005,0.0002,0.0005
43915,442449658,9.802,1.348,3.316,0.2366,0.0175,-0.1038,-1.089,0.048,9.874,-0.0005,-0.0000,-0.0003
43916,442459654,9.809,1.322,3.311,0.2334,0.0132,-0.0889,-1.075,0.057,9.881,-0.0005,0.0005,-0.0000
43917,442469657,9.814,1.310,3.282,0.1983,0.0108,-0.0603,-1.065,0.050,9.883,-0.0008,0.0010,-0.0005
43918,442479654,9.790,1.350,3.314,0.1746,0.0068,-0.0409,-1.073,0.055,9.905,-0.0008,0.0010,0.0003
43919,442489653,9.807,1.391,3.318,0.1474,0.0004,-0.0252,-1.085,0.055,9.881,-0.0008,-0.0006,-0.0000
43920,442499653,9.821,1.425,3.306,0.1237,-0.0091,-0.0169,-1.092,0.055,9.878,-0.0005,-0.0003,0.0005
43921,442509656,9.816,1.405,3.311,0.1037,-0.0171,-0.0057,-1.075,0.048,9.855,-0.0005,0.0010,0.0005
43922,442519657,9.850,1.374,3.261,0.0789,-0.0211,0.0135,-1.094,0.060,9.871,-0.0005,0.0002,-0.0013
43923,442529652,9.792,1.367,3.261,0.0842,-0.0198,0.0079,-1.094,0.050,9.838,-0.0018,0.0005,0.0008
43924,442539654,9.780,1.334,3.242,0.0826,-0.0150,-0.0057,-1.063,0.048,9.869,-0.0002,0.0010,-0.0000
43925,442549653,9.799,1.336,3.232,0.0672,-0.0070,-0.0103,-1.073,0.050,9.881,-0.0002,0.0010,-0.0005
43926,442559658,9.766,1.367,3.218,0.0768,0.0002,-0.0156,-1.085,0.055,9.857,0.0000,0.0015,-0.0003
43927,442569656,9.783,1.343,3.235,0.0919,0.0071,-0.0124,-1.097,0.055,9.864,-0.0010,0.0002,-0.0013
43928,442579655,9.814,1.377,3.292,0.0872,0.0111,0.0015,-1.085,0.050,9.855,0.0008,-0.0000,-0.0003
43929,442589654,9.780,1.365,3.290,0.0895,0.0106,0.0105,-1.068,0.074,9.876,0.0003,0.0002,-0.0000
43930,442599657,9.773,1.401,3.306,0.0834,0.0066,0.0057,-1.075,0.048,9.881,0.0008,0.0002,-0.0000
43931,442609652,9.807,1.389,3.302,0.0610,0.0026,0.0031,-1.092,0.072,9.862,0.0014,-0.0003,-0.0005
43932,442619653,9.814,1.396,3.278,0.0384,-0.0006,0.0039,-1.080,0.060,9.864,0.0016,0.0005,-0.0008
43933,442629653,9.792,1.408,3.259,0.0147,-0.0054,0.0143,-1.082,0.048,9.847,-0.0002,0.0005,0.0005
43934,442639654,9.795,1.358,3.251,-0.0362,-0.0057,0.0295,-1.075,0.053,9.835,-0.0002,0.0005,-0.0005
43935,442649651,9.833,1.381,3.273,-0.0802,-0.0033,0.0342,-1.087,0.065,9.850,0.0003,0.0005,-0.0003
43936,442659652,9.833,1.396,3.330,-0.0922,0.0039,0.0279,-1.085,0.055,9.855,0.0000,0.0005,0.0008
43937,442669655,9.785,1.343,3.259,-0.0698,0.0044,0.0191,-1.077,0.050,9.867,-0.0002,0.0002,-0.0005
43938,442679654,9.792,1.310,3.256,-0.0416,0.0031,0.0196,-1.077,0.043,9.867,0.0003,0.0005,-0.0011
43939,442689655,9.771,1.300,3.211,0.0021,0.0068,0.0079,-1.073,0.062,9.883,-0.0002,-0.0006,-0.0005
43940,442699654,9.773,1.317,3.203,0.0474,0.0167,-0.0044,-1.101,0.057,9.876,0.0011,-0.0006,-0.0005
43941,442709657,9.754,1.381,3.223,0.0991,0.0220,-0.0214,-1.063,0.048,9.874,0.0014,-0.0000,0.0003
43942,442719657,9.766,1.484,3.266,0.1580,0.0226,-0.0281,-1.075,0.043,9.867,0.0000,-0.0008,0.0003
43943,442729651,9.819,1.456,3.292,0.2049,0.0188,-0.0257,-1.094,0.050,9.859,0.0000,-0.0000,0.0005
43944,442739653,9.831,1.444,3.304,0.2076,0.0127,-0.0103,-1.082,0.053,9.864,-0.0002,0.0002,-0.0000
43945,442749652,9.819,1.422,3.292,0.2140,0.0015,0.0025,-1.080,0.053,9.867,-0.0005,0.0013,-0.0005
43946,442759653,9.838,1.441,3.299,0.2092,-0.0166,0.0231,-1.068,0.060,9.857,-0.0002,0.0010,-0.0005
43947,442769652,9.831,1.437,3.275,0.1825,-0.0347,0.0510,-1.068,0.053,9.862,-0.0002,0.0010,-0.0003
43948,442779651,9.773,1.393,3.273,0.1623,-0.0449,0.0612,-1.082,0.062,9.886,0.0003,0.0002,-0.0005
43949,442789654,9.771,1.367,3.266,0.1444,-0.0478,0.0617,-1.092,0.060,9.869,0.0006,0.0005,0.0003
43950,442799656,9.795,1.379,3.230,0.1388,-0.0488,0.0540,-1.068,0.043,9.878,0.0000,0.0005,-0.0003
43951,442809656,9.797,1.403,3.247,0.1487,-0.0464,0.0409,-1.085,0.060,9.888,0.0006,0.0005,-0.0005
43952,442819657,9.823,1.410,3.261,0.1575,-0.0449,0.0398,-1.065,0.041,9.898,0.0000,0.0013,-0.0005
43953,442829652,9.833,1.413,3.235,0.1759,-0.0409,0.0462,-1.068,0.057,9.893,-0.0005,0.0005,-0.0008
43954,442839655,9.847,1.408,3.227,0.1905,-0.0401,0.0566,-1.080,0.053,9.907,-0.0002,0.0005,-0.0003
43955,442849657,9.850,1.413,3.225,0.1836,-0.0395,0.0705,-1.077,0.060,9.871,-0.0002,0.0005,-0.0005
43956,442859651,9.823,1.396,3.206,0.1916,-0.0449,0.0771,-1.073,0.062,9.862,-0.0005,0.0005,0.0003
43957,442869658,9.823,1.403,3.189,0.1975,-0.0534,0.0838,-1.075,0.067,9.878,0.0003,0.0013,-0.0003
43958,442879656,9.811,1.401,3.172,0.2103,-0.0624,0.0849,-1.077,0.053,9.857,-0.0002,0.0005,-0.0000
43959,442889656,9.821,1.365,3.177,0.2065,-0.0686,0.0841,-1.077,0.048,9.874,0.0000,0.0008,0.0003
43960,442899657,9.835,1.343,3.168,0.1908,-0.0672,0.0798,-1.065,0.053,9.852,0.0006,0.0005,-0.0008
43961,442909651,9.816,1.381,3.139,0.1916,-0.0664,0.0646,-1.075,0.050,9.867,0.0006,0.0005,-0.0008
43962,442919651,9.819,1.360,3.127,0.1964,-0.0616,0.0470,-1.075,0.043,9.869,0.0008,0.0008,-0.0003
43963,442929653,9.852,1.358,3.139,0.1809,-0.0494,0.0428,-1.080,0.053,9.871,0.0003,0.0013,-0.0005
43964,442939657,9.850,1.381,3.134,0.1642,-0.0393,0.0481,-1.073,0.072,9.886,-0.0002,-0.0003,-0.0000
43965,442949658,9.807,1.413,3.134,0.1756,-0.0323,0.0404,-1.085,0.065,9.895,-0.0002,-0.0000,0.0005
43966,442959653,9.804,1.417,3.120,0.1975,-0.0326,0.0326,-1.073,0.079,9.890,0.0006,0.0002,-0.0005
43967,442969658,9.833,1.355,3.151,0.2017,-0.0329,0.0287,-1.073,0.067,9.898,0.0008,-0.0008,-0.0003
43968,442979657,9.816,1.372,3.122,0.2095,-0.0337,0.0268,-1.080,0.065,9.871,0.0003,0.0002,-0.0008
43969,442989658,9.821,1.353,3.129,0.2159,-0.0417,0.0321,-1.089,0.060,9.862,0.0006,-0.0006,-0.0003
43970,442999653,9.838,1.348,3.108,0.2023,-0.0470,0.0425,-1.077,0.081,9.847,-0.0002,-0.0000,-0.0005
43971,443009656,9.811,1.379,3.117,0.1916,-0.0526,0.0561,-1.082,0.062,9.883,-0.0002,-0.0006,-0.0005
43972,443019653,9.835,1.374,3.098,0.1839,-0.0528,0.0646,-1.073,0.067,9.881,0.0006,0.0010,-0.0000
43973,443029658,9.838,1.420,3.077,0.1956,-0.0526,0.0564,-1.068,0.067,9.886,-0.0008,0.0002,0.0003
43974,443039651,9.888,1.379,3.081,0.2087,-0.0536,0.0590,-1.082,0.069,9.874,-0.0010,0.0008,-0.0003
43975,443049654,9.845,1.362,3.060,0.2260,-0.0520,0.0676,-1.080,0.062,9.874,-0.0008,-0.0003,-0.0000
43976,443059656,9.828,1.381,3.060,0.2481,-0.0504,0.0684,-1.085,0.045,9.869,-0.0002,0.0002,-0.0000
43977,443069651,9.819,1.353,3.010,0.2473,-0.0467,0.0628,-1.056,0.034,9.859,0.0003,0.0010,-0.0000
43978,443079656,9.826,1.358,3.019,0.2516,-0.0371,0.0508,-1.065,0.050,9.867,0.0008,-0.0000,-0.0000
43979,443089657,9.802,1.398,3.021,0.2771,-0.0323,0.0287,-1.085,0.045,9.878,-0.0002,-0.0003,-0.0000
43980,443099651,9.811,1.444,3.041,0.3051,-0.0289,0.0119,-1.082,0.041,9.888,0.0006,-0.0000,0.0003
43981,443109653,9.859,1.434,3.045,0.3102,-0.0321,0.0108,-1.092,0.043,9.905,-0.0002,0.0002,0.0005
43982,443119653,9.871,1.391,3.024,0.3062,-0.0342,0.0185,-1.085,0.057,9.883,0.0008,0.0005,-0.0005
43983,443129654,9.886,1.377,3.021,0.2745,-0.0342,0.0332,-1.070,0.062,9.888,-0.0002,0.0002,-0.0011
43984,443139657,9.895,1.381,3.005,0.2353,-0.0355,0.0508,-1.073,0.034,9.862,-0.0002,0.0013,-0.0003
43985,443149651,9.888,1.391,2.928,0.2103,-0.0377,0.0609,-1.077,0.045,9.874,-0.0016,0.0008,-0.0000
43986,443159651,9.859,1.386,2.978,0.2025,-0.0414,0.0665,-1.070,0.053,9.855,-0.0005,-0.0008,-0.0000
43987,443169655,9.874,1.360,2.947,0.1916,-0.0419,0.0652,-1.097,0.048,9.869,-0.0005,-0.0011,-0.0005
43988,443179656,9.883,1.362,2.971,0.1900,-0.0395,0.0604,-1.075,0.024,9.845,-0.0005,-0.0000,0.0003
43989,443189657,9.905,1.346,2.950,0.1905,-0.0369,0.0601,-1.087,0.036,9.867,-0.0005,-0.0000,0.0003
43990,443199658,9.900,1.381,2.962,0.1756,-0.0326,0.0686,-1.061,0.043,9.845,0.0003,0.0005,-0.0000
43991,443209654,9.852,1.448,2.935,0.2132,-0.0326,0.0630,-1.073,0.053,9.883,0.0006,0.0013,-0.0000
43992,443219651,9.878,1.429,2.998,0.2489,-0.0297,0.0542,-1.082,0.055,9.869,0.0003,0.0013,0.0005
43993,443229654,9.867,1.405,2.988,0.2529,-0.0230,0.0476,-1.087,0.050,9.864,0.0006,0.0010,0.0008
43994,443239653,9.840,1.381,3.002,0.2524,-0.0158,0.0340,-1.061,0.031,9.881,0.0011,0.0005,0.0008
43995,443249653,9.833,1.401,3.005,0.2300,-0.0113,0.0201,-1.056,0.045,9.886,0.0003,-0.0003,-0.0003
43996,443259653,9.847,1.463,2.945,0.2063,-0.0105,0.0012,-1.068,0.045,9.864,0.0011,0.0002,-0.0000
43997,443269654,9.874,1.578,2.993,0.1751,-0.0147,-0.0172,-1.080,0.053,9.881,0.0014,0.0005,0.0008
43998,443279651,9.924,1.573,2.952,0.1410,-0.0275,-0.0132,-1.046,0.055,9.895,0.0006,0.0013,-0.0000
43999,443289651,9.946,1.465,2.840,0.1221,-0.0379,0.0116,-1.061,0.055,9.895,0.0000,0.0008,-0.0005
44000,443299654,9.974,1.413,2.804,0.1029,-0.0454,0.0542,-1.077,0.048,9.862,0.0003,-0.0008,-0.0003
44001,443309657,9.917,1.310,2.696,0.0810,-0.0470,0.0950,-1.070,0.055,9.862,0.0014,-0.0000,-0.0000
44002,443319654,9.876,1.317,2.830,0.1021,-0.0459,0.0947,-1.082,0.045,9.874,0.0003,-0.0014,-0.0003
44003,443329658,9.835,1.274,2.835,0.1298,-0.0470,0.0889,-1.082,0.041,9.869,0.0000,-0.0000,-0.0005
44004,443339652,9.826,1.295,2.842,0.1418,-0.0472,0.0801,-1.056,0.043,9.862,0.0000,-0.0006,-0.0000
44005,443349658,9.816,1.336,2.887,0.1298,-0.0406,0.0585,-1.056,0.057,9.869,0.0000,0.0002,-0.0008
44006,443359652,9.833,1.401,2.940,0.1074,-0.0313,0.0388,-1.068,0.041,9.862,0.0006,-0.0000,-0.0005
44007,443369657,9.871,1.429,2.921,0.0933,-0.0243,0.0167,-1.085,0.055,9.859,0.0000,0.0005,-0.0005
44008,443379655,9.893,1.422,2.911,0.0864,-0.0203,0.0097,-1.080,0.057,9.886,0.0003,0.0013,-0.0003
44009,443389655,9.898,1.358,2.844,0.0792,-0.0211,0.0137,-1.082,0.060,9.898,-0.0005,-0.0003,-0.0008
44010,443399658,9.895,1.319,2.794,0.0717,-0.0134,0.0196,-1.087,0.055,9.869,0.0006,0.0005,-0.0008
44011,443409652,9.905,1.317,2.818,0.0789,-0.0094,0.0287,-1.080,0.057,9.862,-0.0005,0.0002,-0.0000
44012,443419656,9.907,1.329,2.789,0.0946,-0.0115,0.0372,-1.087,0.041,9.876,0.0000,-0.0003,-0.0003
44013,443429658,9.950,1.324,2.796,0.1133,-0.0121,0.0502,-1.089,0.053,9.855,0.0003,-0.0006,-0.0005
44014,443439653,9.926,1.358,2.825,0.1271,-0.0129,0.0540,-1.085,0.067,9.869,-0.0005,-0.0000,-0.0000
44015,443449652,9.893,1.391,2.856,0.1370,-0.0147,0.0572,-1.092,0.036,9.859,0.0003,-0.0003,0.0008
44016,443459654,9.888,1.377,2.842,0.1468,-0.0193,0.0532,-1.094,0.053,9.857,0.0003,-0.0000,0.0008
44017,443469652,9.881,1.391,2.875,0.1380,-0.0219,0.0446,-1.089,0.062,9.876,-0.0013,0.0010,0.0005
44018,443479656,9.864,1.396,2.868,0.1213,-0.0267,0.0441,-1.077,0.055,9.867,-0.0010,0.0005,-0.0005
44019,443489653,9.898,1.377,2.828,0.1034,-0.0286,0.0433,-1.073,0.057,9.869,0.0000,-0.0000,0.0003
44020,443499656,9.919,1.365,2.825,0.0954,-0.0281,0.0521,-1.080,0.060,9.881,0.0006,0.0005,0.0005
44021,443509656,9.962,1.338,2.782,0.0903,-0.0297,0.0662,-1.073,0.043,9.878,0.0000,0.0008,0.0008
44022,443519657,9.922,1.276,2.737,0.0826,-0.0305,0.0803,-1.085,0.074,9.878,0.0006,0.0010,-0.0013
44023,443529651,9.893,1.283,2.756,0.0840,-0.0326,0.0822,-1.085,0.065,9.871,0.0000,0.0015,0.0003
44024,443539651,9.912,1.281,2.772,0.0914,-0.0281,0.0710,-1.089,0.041,9.855,-0.0008,0.0002,0.0003
44025,443549658,9.900,1.326,2.768,0.1061,-0.0243,0.0574,-1.082,0.050,9.871,0.0000,-0.0000,-0.0000
44026,443559651,9.895,1.346,2.784,0.1343,-0.0251,0.0404,-1.070,0.041,9.857,-0.0002,-0.0000,-0.0005
44027,443569651,9.910,1.329,2.777,0.1415,-0.0259,0.0385,-1.073,0.069,9.862,0.0006,0.0005,-0.0008
44028,443579656,9.883,1.314,2.708,0.1668,-0.0294,0.0353,-1.085,0.055,9.840,-0.0002,0.0005,0.0003
44029,443589657,9.907,1.305,2.727,0.1977,-0.0329,0.0244,-1.094,0.060,9.855,-0.0010,0.0005,0.0003
44030,443599658,9.957,1.312,2.756,0.2025,-0.0294,0.0329,-1.077,0.045,9.871,-0.0005,-0.0003,-0.0003
44031,443609653,9.934,1.259,2.768,0.1961,-0.0278,0.0497,-1.070,0.041,9.893,0.0011,0.0010,-0.0000
44032,443619659,9.905,1.300,2.782,0.1833,-0.0259,0.0604,-1.075,0.053,9.883,0.0000,0.0005,-0.0003
44033,443629652,9.910,1.305,2.787,0.1746,-0.0259,0.0572,-1.082,0.055,9.864,0.0003,-0.0003,-0.0003
44034,443639657,9.910,1.300,2.782,0.1647,-0.0297,0.0454,-1.099,0.043,9.886,0.0000,-0.0011,-0.0005
44035,443649651,9.931,1.314,2.770,0.1500,-0.0313,0.0353,-1.087,0.048,9.871,-0.0002,-0.0008,-0.0005
44036,443659653,9.948,1.334,2.780,0.1362,-0.0323,0.0409,-1.087,0.041,9.864,-0.0008,0.0002,-0.0000
44037,443669655,9.936,1.336,2.734,0.1330,-0.0358,0.0484,-1.080,0.060,9.881,0.0000,0.0008,-0.0003
44038,443679651,9.946,1.374,2.758,0.1269,-0.0339,0.0534,-1.082,0.043,9.888,-0.0002,0.0005,-0.0000
44039,443689651,9.962,1.350,2.737,0.1362,-0.0329,0.0529,-1.080,0.043,9.838,-0.0010,-0.0000,-0.0005
44040,443699653,9.977,1.317,2.720,0.1471,-0.0286,0.0454,-1.085,0.045,9.855,0.0000,0.0005,0.0003
44041,443709654,9.934,1.295,2.715,0.1575,-0.0254,0.0433,-1.065,0.050,9.871,0.0006,0.0008,0.0003
44042,443719657,9.926,1.312,2.737,0.1610,-0.0265,0.0401,-1.073,0.048,9.833,0.0006,0.0002,-0.0000
44043,443729653,9.900,1.295,2.686,0.1588,-0.0246,0.0303,-1.082,0.055,9.864,-0.0002,0.0008,0.0003
44044,443739653,9.946,1.281,2.689,0.1444,-0.0206,0.0249,-1.056,0.050,9.867,0.0006,-0.0000,-0.0000
44045,443749706,9.955,1.286,2.698,0.1343,-0.0161,0.0204,-1.075,0.062,9.869,0.0000,0.0013,-0.0003
